User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
1.0,Google Pixel 5,Android,393.0,6.4,1872.0,67,1122,,Male,4
2.0,OnePlus 9,,268.0,4.7,1331.0,42,944,4778.0,Female,3
3.0,Xiaomi Mi 11,Android,154.0,4.0,761.0,32,322,42.0,Male,2
4.0,Google Pixel 5,Android,239.0,4.8,1676.0,56,871,20.0,Male,3
5.0,iPhone 12,iOS,187.0,4.3,1367.0,58,988,31.0,Female,3
6.0,Google Pixel 5,Android,99.0,2.0,940.0,35,564,31.0,Male,2
7.0,Samsung Galaxy S21,Android,350.0,7.3,1802.0,66,1054,21.0,Female,4
8.0,OnePlus 9,Android,543.0,11.4,2956.0,82,1702,31.0,Male,5
9.0,Samsung Galaxy S21,Android,340.0,7.7,,75,1053,42.0,Female,4
10.0,,iOS,424.0,6.6,1957.0,75,1301,42.0,Male,4
11.0,Google Pixel 5,Android,53.0,1.4,435.0,17,162,34.0,Female,1
12.0,OnePlus 9,Android,215.0,5.5,1690.0,47,641,24.0,Male,3
13.0,OnePlus 9,Android,462.0,6.2,2303.0,65,1099,57.0,Female,4
14.0,Xiaomi Mi 11,Android,215.0,4.9,1662.0,43,857,43.0,Male,3
15.0,iPhone 12,iOS,189.0,5.4,1754.0,53,779,49.0,Female,3
16.0,,Android,503.0,10.4,2571.0,84,2025,39.0,Female,5
17.0,OnePlus 9,Android,132.0,3.6,628.0,32,344,47.0,Female,2
18.0,iPhone 12,iOS,299.0,5.8,1431.0,41,985,44.0,Female,3
19.0,Google Pixel 5,Android,81.0,1.4,558.0,16,297,26.0,Female,1
20.0,iPhone 12,iOS,577.0,8.5,2774.0,89,2192,29.0,Female,5
21.0,Samsung Galaxy S21,Android,93.0,2.6,681.0,37,302,45.0,Female,2
22.0,OnePlus 9,Android,576.0,11.6,2803.0,82,1553,43.0,Female,5
23.0,Samsung Galaxy S21,Android,423.0,,2094.0,65,1372,23.0,Female,4
24.0,Google Pixel 5,,292.0,5.6,1401.0,46,36062,37.0,Female,3
25.0,OnePlus 9,Android,,4.0,1711.0,59,748,58.0,Male,3
26.0,Samsung Galaxy S21,Android,91.0,3.4,1073.0,38,451,52.0,Male,2
27.0,iPhone 12,iOS,444.0,7.6,2372.0,77,1002,29.0,Male,4
28.0,Google Pixel 5,Android,512.0,10.5,2409.0,89,1599,33.0,Male,5
29.0,OnePlus 9,Android,452.0,,2387.0,77,1456,55.0,Female,4
30.0,Samsung Galaxy S21,Android,412.0,6.2,1899.0,78,1384,19.0,Female,4
31.0,,Android,260.0,6.0,1361.0,44,889,37.0,Female,3
32.0,Xiaomi Mi 11,Android,197.0,4.6,1660.0,59,975,25.0,Male,3
33.0,Google Pixel 5,Android,278.0,4.7,1484.0,55,917,21.0,Male,3
34.0,Google Pixel 5,Android,46.0,2.0,457.0,14,105,58.0,Male,1
35.0,Xiaomi Mi 11,Android,593.0,10.2,2499.0,81,1616,38.0,Female,5
36.0,Samsung Galaxy S21,Android,32.0,1.2,580.0,19,153,20.0,Female,1
37.0,iPhone 12,iOS,122.0,3.3,755.0,30,573,26.0,Male,2
38.0,Samsung Galaxy S21,Android,522.0,11.2,2808.0,93,2328,24.0,Male,5
39.0,OnePlus 9,Android,473.0,6.4,2312.0,74,1400,40.0,Male,4
40.0,Samsung Galaxy S21,Android,398.0,6.2,1851.0,77,1180,23.0,Male,4
41.0,Xiaomi Mi 11,Android,240.0,4.7,1464.0,52,708,56.0,Female,3
42.0,OnePlus 9,Android,576.0,10.1,2447.0,83,2323,33.0,Male,5
43.0,Samsung Galaxy S21,Android,120.0,2.1,720.0,39,392,43.0,Male,2
44.0,Samsung Galaxy S21,Android,152.0,3.7,993.0,32,429,18.0,Male,2
45.0,Xiaomi Mi 11,Android,138.0,2.4,837.0,21,572,56.0,Female,2
46.0,Xiaomi Mi 11,Android,,10.9,2476.0,96,1935,39.0,Male,5
,OnePlus 9,Android,558.0,8.4,2447.0,97,1594,22.0,Female,5
48.0,Samsung Galaxy S21,Android,138.0,3.6,889.0,25,323,27.0,Female,2
49.0,Google Pixel 5,,580.0,8.2,2623.0,90,2262,49.0,Male,5
50.0,,Android,589.0,8.7,2736.0,82,1997,49.0,Male,5
51.0,Xiaomi Mi 11,Android,452.0,7.4,2180.0,61,1417,54.0,Female,4
52.0,Xiaomi Mi 11,Android,245.0,,1243.0,52,885,29.0,Male,3
53.0,Samsung Galaxy S21,Android,125.0,2.7,690.0,1260,393,27.0,Female,2
54.0,Xiaomi Mi 11,Android,97.0,2.2,1101.0,38,375,53.0,Male,2
55.0,Google Pixel 5,Android,516.0,8.7,2857.0,83,2189,53.0,Female,5
